2014-05-04 20:47:44 INFO  HUBEndPointsStatus:106 - ...total 1 endpoints found
2014-05-04 21:39:17 WARN  riot:77 - [line: 120, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 124, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 126, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 130, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 132, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 136, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 138, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 142, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 144, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 148, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 150, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 154, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 156, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 160, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 162, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 166, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 168, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 172, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 174, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 178, col: 44] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 180, col: 34] {W108} Not an XML Name: ''
2014-05-04 21:39:17 WARN  riot:77 - [line: 184, col: 44] {W108} Not an XML Name: ''
